japanese, english
ダムが決壊し、谷は水に飲まれた,The dam burst and water flooded the valley
彼らは私にこの薬を無理矢理飲ませた, They force me to take the medcine
空腹でお酒を飲むな, Do not drink on an empty stomach
良い薬になるだろう, It will be a good lesson to him
だから言っただろう, I tried to tell you
次の旅行計画を立てなきゃ, I need to plan my next trup
20日と２１日の午後を空けてあります, I have kept the schedule open for the afternoon of the 20th and the 21st
本を全部処分した, I disposed of all the books
彼は言い訳をでっち上げた, He made up an excuse
この切符を取り消せますか？, Can I cancel this ticket?
赤丸で囲む, Circle in red pencil
その事件の説明は、紙面が足りないため割愛された, The explanation of the event was omitted for lack of space
彼は我々の感情に訴えた, He appealed to our emotions
そのスピーチの要点は把握できた, I was able to grasp the main points of the speech
人生は冒険に満ちている, Life is full of adventures
そんなリスクを背負いたくない, I don't want to take that risk
誰が私の背中を叩いた, Someone hit me on the back
彼女は夫のそばにぴったり寄り添っていた, She stood close to her husband
濡れた服を脱ぎなさい, Take off your wet clothes
毎日五百円ずつ貯めれば、一ヶ月で新しいゲームを買えます, If you save 500 yen every day you can buy a new game in one month
